ABOLISH: 廃止する
ABOVE: ～より上に
ABRIDGED: 要約された
ABRUPT: 突然の
ABRUPTLY: 不意に
ABUNDANT: 豊富な
ACCOMMODATE: 収容する
ACCORDING TO: ～によれば
ACQUIRE: 習得する
ACQUISITION: 習得
ACUTE: 鋭い
ADAMANT: 断固とした
ADDICTION: 中毒
ADEQUATE: 十分な
ADEQUATELY: 十分に
ABUNDANT: 豊富な
ACCOMMODATE: 収容する
ACCORDING TO: ～によれば
ACQUIRE: 習得する
ACQUISITION: 習得
ACUTE: 鋭い
ADAMANT: 断固とした
ADDICTION: 中毒
ADEQUATE: 十分な
ADEQUATELY: 十分に
ADMINISTER: 管理する
ADOLESCENCE: 青年期
ADOLESCENT: 思春期の若者
ADVOCATE: 主張する
AFFLUENT: 裕福な
AGAINST: ～に反対して
ALIENATE: 疎遠にする
ALLEGE: 主張する
ALLEGEDLY: 伝えられるところによると
ALLEGIANCE: 忠誠
ALLEVIATE: 緩和する
ALLOCATE: 割り当てる
ALONG WITH: ～と一緒に
ALTER: 変える
ALTERNATIVE: 代わりの
ALTITUDE: 高度
AMBIGUITY: 曖昧さ
AMBIGUOUS: 曖昧な
AMENITIES: 快適な設備
AMIABLE: 愛想の良い
AMONG: ～の間で
AMPLIFY: 増幅する
ANALYZE: 分析する
ANTIQUE: 骨董品
ANXIETY: 不安
APPARENT: 明白な
APPARENTLY: どうやら～らしい
APPRAISAL: 評価
APPRECIATE: 感謝する
APPREHEND: 逮捕する
APPREHENSION: 不安
APPROPRIATE: 適切な
ARROGANT: 尊大な
ARTIFICIAL: 人工の
ASCERTAIN: 確かめる
ASPECT: 側面
ASPIRE: 熱望する
ASSEMBLE: 集める
ASSERT: 断言する
ASSESS: 評価する
ASSET: 資産
ASSIGN: 割り当てる
ASSIMILATE: 同化する
ASSIST: 助ける
ASSOCIATE: 関連づける
ASSUME: 仮定する
ASSURE: 保証する
ASTONISH: 驚かせる
ATMOSPHERE: 雰囲気
ATTACH: 取り付ける
ATTAIN: 達成する
ATTEMPT: 試みる
ATTEND: 出席する
ATTRIBUTE: ～のせいにする
AUDIBLE: 聞こえる
AUGMENT: 増加させる
AUTHENTIC: 本物の
AUTHORITY: 権威
AUTHORIZE: 許可する
AUTOMATIC: 自動の
AUTONOMY: 自治
AUXILIARY: 補助の
AVAIL: 役立つ
AVAILABLE: 利用できる
AVENUE: 大通り
AVERT: 避ける
AVIATION: 航空
AVOID: 避ける
AWAIT: 待つ
AWARD: 賞
AWARE: 気づいている
AWE: 畏敬
AWKWARD: 気まずい
BANISH: 追放する
BANKRUPT: 破産した
BARELY: かろうじて
BARGAIN: 取引
BARRIER: 障壁
BASIC: 基本的な
BASIS: 基礎
BEAR: 耐える
BEHAVE: 振る舞う
BEHAVIOR: 振る舞い
BELIEF: 信念
COINCIDENCE: 偶然の一致
COMMENCE: 開始する
COMMERCIAL: 商業の
COMMIT: 約束する
COMPATIBLE: 互換性のある
COMPEL: 強制する
COMPENSATE: 補う
COMPLEX: 複雑な
COMPOSER: 作曲家
COMPREHENSIVE: 包括的な
COMPULSORY: 義務的な
CONCENTRATE: 集中する
CONCERNED: 心配して
CONCISE: 簡潔な
CONDEMN: 非難する
CONFIDENCE: 自信
CONFINE: 閉じ込める
CONFIRM: 確認する
CONFIRMATION: 確認
CONFLICT: 対立
CONFRONT: 直面する
CONGENIAL: 気の合う
CONSENSUS: 合意
CONSEQUENTLY: その結果として
CONSERVE: 保存する
CONSIDERABLE: かなりの
CONSIST: ～から成る
CONSISTENT: 一貫した
CONSPICUOUS: 目立つ
CONSPIRACY: 陰謀
CONSPIRE: 共謀する
CONSTANTLY: 絶えず
CONSULT: 相談する
CONTAGIOUS: 感染性の
CONTEMPORARY: 現代の
CONTENTION: 論争
CONTRIBUTE: 貢献する
CONTRIBUTION: 貢献
CONTROVERSIAL: 議論を呼ぶ
CONVENIENT: 便利な
CONVENTION: 慣習
CONVENTIONAL: 従来の
CONVERSION: 変換
CONVINCE: 納得させる
COOPERATE: 協力する
CORPORATION: 企業
CRAFT: 工芸
CREDIBILITY: 信頼性
CRISIS: 危機
CRITICAL: 批判的な
CRITICISM: 批判
CRUCIAL: 極めて重要な
CRUELTY: 残酷さ
CULPRIT: 犯人
CULTIVATE: 耕す
CULTURE: 文化
CURRENTLY: 現在は
DEBATE: 討論
DEBT: 借金
DECENT: 礼儀にかなった
DECIPHER: 解読する
DEFECTIVE: 欠陥のある
DEFICIT: 赤字
DEFINE: 定義する
DEFINITE: 明確な
DEFINITION: 定義
DELIBERATE: 熟考する
DEMOCRATIC: 民主主義の
DEPICT: 描写する
DEPOT: 貯蔵庫
DESERTED: 人通りの絶えた
DESERVE: ～に値する
DESPERATE: 必死の
DESPITE: ～にもかかわらず
DEVASTATE: 破壊する
DEXTEROUS: 器用な
DIAGNOSE: 診断する
DICTATE: 指図する
DILIGENTLY: 勤勉に
DISCOMFORT: 不快
DISCREETLY: 慎重に
DISGUISE: 変装
DISMISS: 解雇する
DISPERSE: 分散させる
DISTINCTION: 区別
DISTINGUISH: 区別する
DISTRIBUTE: 配布する
DISTURB: 邪魔する
DOCILE: 従順な
DOWNFALL: 没落
DOWNSIZE: 小型化する
DRAMATIC: 劇的な
DRASTIC: 思い切った
DRASTICALLY: 劇的に
DUBIOUS: 疑わしい
DUE: 支払期日の来た
DURING: ～の間に
ECONOMY: 経済
EFFECTIVE: 効果的な
EFFICIENT: 効率的な
EJECT: 外に出す
ELASTIC: 弾力性の
ELECT: 選出する
ELIMINATE: 排除する
ELOQUENT: 雄弁な
ELOQUENTLY: 雄弁に
EMBODY: 体現する
EMERGE: 現れる
EMOTION: 感情
EMPATHETIC: 共感的な
EMPHASIZE: 強調する
EMPHATICALLY: 断固として
ENCOUNTER: 遭遇する
ENDORSEMENT: 支持
ENERGY: エネルギー
ENHANCE: 高める
ENLIGHTENED: 啓発された
ENORMOUS: 巨大な
ENROLL: 入学する
ENTANGLE: 絡まる
ENTERPRISE: 事業
EQUITY: 公平
ERRONEOUSLY: 誤って
ESTABLISH: 設立する
ESTIMATE: 見積もる
ETHNIC: 民族の
EVACUATE: 避難する
EVALUATE: 評価する
EVAPORATE: 蒸発する
EVASION: 回避
EVENTUALLY: 最終的に
EVIDENT: 明白な
EVIDENTLY: 明らかに
EVOLUTION: 進化
EVOLVE: 進化する
EXAGGERATE: 誇張する
EXCEED: 上回る
EXCEPT: ～を除いて
EXCESSIVE: 過度の
EXHAUSTION: 過度の疲労
EXPAND: 拡大する
EXPEDITION: 遠征
EXPENDITURE: 支出
EXPERTISE: 専門知識
EXPIRE: 期限が切れる
EXPLICIT: 明確な
EXPLICITLY: 明示的に
EXTENSIVE: 広範囲にわたる
EXTENSIVELY: 広範囲に
EXTENT: 範囲
EXTINCTION: 絶滅
EXTREMELY: 極めて
FACILITY: 施設
FAMINE: 飢饉
FASCINATION: 魅力
FATAL: 致命的な
FEASIBLE: 実現可能な
FEATURE: 特徴
FIRM: 固い
FLATTER: お世辞を言う
FLEXIBLE: 柔軟な
FLOCK: 群れ
FLUCTUATE: 変動する
FORESEE: 予見する
FORGE: 築き上げる
FORMIDABLE: 恐るべき
FORTUNATE: 幸運な
FOSTER: 育成する
FRACTURE: 骨折
FRAGILE: こわれやすい
FRICTION: 摩擦
FRUSTRATION: 欲求不満
FUND: 資金提供する
FUSS: 大騒ぎ
GENDER: 性別
GENERATE: 生み出す
GENEROUS: 気前のよい
GLORIOUS: 栄光の
GOVERN: 統治する
GRACE: 優雅さ
GRACIOUS: 礼儀正しい
GRADUALLY: 徐々に
GREGARIOUS: 社交的な
GRIEVANCE: 不平
GRIEVE: 悲しむ
GUILT: 罪悪感
HAPHAZARDLY: でたらめに
HARMFUL: 有害な
HARSH: 厳しい
HARSHLY: 激しく
HAUNT: 出没する
HAZARD: 危険要因
HEED: 気を付ける
HERITAGE: 遺産
HILARIOUS: 大変陽気な
HOSPITALITY: もてなし
HUMILIATE: 恥をかかせる
HYBRID: 雑種
IDENTIFY: 特定する
IDEOLOGY: イデオロギー
IGNORE: 無視する
ILLUSION: 幻想
ILLUSTRATE: 例証する
IMMEDIATE: 即座の
IMPENDING: 差し迫った
IMPLEMENT: 実行する
IMPLICATION: 言外の意味
IMPLICITLY: 暗黙のうちに
IMPOSING: 堂々とした
IMPRACTICAL: 非実用的な
IMPRESSIVE: 印象的な
INCENTIVE: 動機
INCESSANTLY: 絶え間なく
INCREASINGLY: ますます
INDEFINITELY: 無期限に
INDIGENOUS: 原産の
INDIGNANT: 憤慨した
INDIGNANTLY: 憤慨して
INDISPENSABLE: 不可欠な
INDUCE: 誘発する
INFECTIOUS: 伝染性の
INFINITELY: 無限に
INFLUENTIAL: 影響力のある
INFRASTRUCTURE: 社会基盤
INHERENT: 本来備わっている
INITIATE: 開始する
INITIATIVE: 主導権
INNATE: 生まれつきの
INNOVATION: 革新
INQUIRY: 調査
INSIDE: ～の内側に
INSIST: 主張する
INSTANTANEOUSLY: すぐに
INTEGRITY: 誠実さ
INTELLECTUAL: 知的な
INTERFERE: 干渉する
INTERVENE: 介入する
INTRICATE: 複雑な
INTRICATELY: 複雑に
INTRINSIC: 本来備わっている
INVALID: 無効な
INVARIABLY: いつも
INVENT: 発明する
INVOLVE: ～を伴う
IRRITATING: いらいらさせる
IRRITATION: いらだち
ITINERARY: 旅程
JUDICIOUSLY: 賢明に
JUSTIFY: 正当化する
LANDSCAPE: 風景
LAUNCH: 送り出す
LEGIBLE: 判読可能な
LEGISLATION: 法律制定
LIABILITY: 責任
LIMITED: 限られた
LOITER: ぶらぶらする
LONG-TERM: 長期的な
MAGNET: 磁石
MAGNIFY: 拡大する
MAJORITY: 大多数
MAMMAL: 哺乳類
MANUAL: 手作業の
MARKET: 市場
MEADOW: 牧草地
MEDITATE: 瞑想する
MERELY: 単に
MIMIC: まねる
MODERNIZATION: 近代化
MODIFY: 修正する
MONOPOLY: 独占
MONOTONOUS: 単調な
MORAL: 道徳的な
MOREOVER: さらに
MORTALITY: 死亡率
MUTUAL: 相互の
MUTUALLY: 相互に
NASTY: 不快な
NECESSARILY: 必ずしも
NEGLIGENCE: 過失
NEGOTIATE: 交渉する
NOBLE: 高潔な
NOMINATE: 任命する
NOR: ～もまたない
NORM: 規範
NOTION: 概念
NUISANCE: 厄介なこと
NUTRIENT: 栄養素
NUTRITIOUS: 栄養のある
OBEDIENT: 従順な
OBJECTION: 異議
OBLIGE: 義務付ける
OBLIVIOUS: 気づかない
OBSOLETE: 廃れた
OBSTACLE: 障害
OBTAIN: 手に入れる
OCCASIONAL: 時々の
OCCUR: 起こる
OPERATE: 操作する
OPPOSE: 反対する
OPPOSITE: 反対の
ORGANISM: 生物
OTHERWISE: さもなければ
OUTRAGEOUS: とんでもない
OUTSIDE: ～の外側に
OUTSTANDING: 目立った
OVERLOOK: 大目に見る
OVERSEAS: 海外の
OVERWHELMING: 圧倒するような
OXYGEN: 酸素
PARADIGM: パラダイム
PARTICIPATE: 参加する
PARTICULARLY: 特に
PATIENT: 忍耐強い
PENETRATE: 貫通する
PERCEPTIBLE: 知覚できる
PERCEPTION: 知覚
PERILOUS: 危険な
PERMANENT: 永久の
PERMIT: 許可する
PERPETRATOR: 犯人
PERSUADE: 説得する
PHENOMENON: 現象
PIONEER: 開拓者
PLAUSIBLE: もっともらしい
PLAUSIBLY: もっともらしく
PLEA: 嘆願
PLEASANT: 快適な
PLUMBER: 配管工
POLICY: 政策
POLLUTANT: 汚染物質
PORTRAY: 描写する
POTENTIAL: 潜在的な
POVERTY: 貧困
PRECEDE: 先行する
PRECIOUS: 貴重な
PRECISE: 正確な
PRECISION: 正確さ
PREJUDICE: 偏見
PRESCRIBE: 処方する
PRESCRIPTION: 処方箋
PRESERVE: 保存する
PRESTIGIOUS: 著名な
PRETEXT: 口実
PREVAIL: 普及する
PREVALENT: 普及している
PREVIOUSLY: 以前に
PRIMARILY: 主に
PRIME: 最も重要な
PRINCIPAL: 主要な
PRINCIPLE: 原理
PRIVILEGE: 特権
PROBABLE: ありそうな
PROCEDURE: 手順
PROFICIENCY: 熟練
PROFITABLE: 利益の上がる
PROFOUND: 深遠な
PROFOUNDLY: 深く
PROGRESSIVE: 進歩的な
PROMOTE: 促進する
PROPAGANDA: 宣伝
PROPERLY: 適切に
PROPERTY: 財産
PROPORTION: 割合
PROPOSE: 提案する
PROSPECT: 見通し
PROTOCOL: 議定書
PROVOKE: 引き起こす
PRUDENTLY: 賢明に
PSYCHOLOGICAL: 心理的な
PURSUE: 追求する
QUARREL: 口論
RAMPAGE: 暴動
RANGE: 範囲
RATIONAL: 合理的な
RAW: 生の
RECESSION: 不況
RECKLESSLY: 向こう見ずに
RECONCILIATION: 和解
REFER: 言及する
REFLECT: 反映する
REGARD: みなす
REGULATE: 規制する
REGULATION: 規制
REIGN: 統治
RELATE: 関連づける
RELATIVE: 相対的な
RELATIVELY: 比較的
RELEVANT: 関連のある
RELIABLE: 信頼できる
RELIGIOUS: 宗教の
RELY: 頼る
REMARKABLE: 注目すべき
REMIND: 思い出させる
REMNANT: 残り
REMOTE: 遠い
REPERTOIRE: レパートリー
REPLACE: 取って代わる
REPRESENT: 代表する
RESIDE: 居住する
RESILIENT: 回復力のある
RESOLUTION: 決意
RESONATE: 共鳴する
RESOURCE: 資源
RESPONSIBILITY: 責任
RESPONSIBLE: 責任がある
RESTRAIN: 抑制する
RETAIN: 保持する
REVENUE: 収益
REVISION: 改訂
RIGID: 厳格な
RIGOROUS: 厳しい
RURAL: 田舎の
SARCASTIC: 皮肉な
SATELLITE: 衛星
SATISFACTION: 満足
SCALE: 規模
SCARCE: 乏しい
SCARCELY: ほとんど～ない
SECONDARY: 第二の
SEEK: 探し求める
SEEMINGLY: どうやら〜らしい
